"Story","Title","Result","Date","Stability","Duration (s)"
"Firma Pagare Deceval","usuario solicita crear pagare sin cuenta otorgante","SUCCESS","14:50:30","0.0","1.52"
"Firma Pagare Deceval","usuario solicita crear pagare sin numero pagare entidad","SUCCESS","14:50:31","0.0","1.39"
